GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework,com.finance.homework.domain.responses,UserResponse,106,338,38,36,0,12,31,30,1,23
homework,com.finance.homework.domain.responses,ExtentionResponse,49,132,18,12,0,6,16,11,1,11
homework,com.finance.homework.domain.responses,LoanResponse,111,300,43,27,0,11,36,21,1,21
homework,com.finance.homework.domain.responses,ErrorResponse,25,67,8,6,0,5,8,7,1,7
homework,com.finance.homework,HomeworkApplication,8,0,0,0,3,0,2,0,2,0
homework,com.finance.homework.converters,ExtentionConverter,0,36,0,0,0,7,0,6,0,6
homework,com.finance.homework.converters,UserConverter,0,36,0,0,0,7,0,6,0,6
homework,com.finance.homework.converters,LoanConverter,0,36,0,0,0,7,0,6,0,6
homework,com.finance.homework.configuration,LoggingFilterConfig,24,0,0,0,8,0,2,0,2,0
homework,com.finance.homework.configuration,SwaggerConfiguration,59,0,0,0,17,0,5,0,5,0
homework,com.finance.homework.configuration,WebConfiguration.new WebMvcConfigurer() {...},51,0,0,0,6,0,2,0,2,0
homework,com.finance.homework.configuration,WebConfiguration,12,0,0,0,3,0,3,0,3,0
homework,com.finance.homework.controllers,ExceptionHandlingController,41,66,0,0,6,10,3,5,3,5
homework,com.finance.homework.controllers,UserController,0,49,0,0,0,9,0,5,0,5
homework,com.finance.homework.controllers,LoanExtentionController,0,47,0,0,0,8,0,5,0,5
homework,com.finance.homework.controllers,LoanController,0,67,0,0,0,11,0,6,0,6
homework,com.finance.homework.domain.exceptions,UserAlreadyExistsException,0,9,0,0,0,4,0,2,0,2
homework,com.finance.homework.domain.exceptions,LoanNotFoundException,0,9,0,0,0,4,0,2,0,2
homework,com.finance.homework.domain.exceptions,ExtentionNotFoundException,0,9,0,0,0,4,0,2,0,2
homework,com.finance.homework.domain.exceptions,UserNotFoundException,0,9,0,0,0,4,0,2,0,2
homework,com.finance.homework.domain.exceptions,InvalidStatusException,0,9,0,0,0,4,0,2,0,2
homework,com.finance.homework.domain.requests,ExtentionRequest.ExtentionRequestBuilder,17,21,0,0,0,1,1,4,1,4
homework,com.finance.homework.domain.requests,ExtentionRequest,16,123,11,11,0,5,9,13,0,11
homework,com.finance.homework.domain.requests,UserRequest.UserRequestBuilder,32,42,0,0,0,1,1,7,1,7
homework,com.finance.homework.domain.requests,LoanRequest,26,205,19,19,0,7,15,19,0,15
homework,com.finance.homework.domain.requests,UserRequest,31,246,23,23,0,8,18,22,0,17
homework,com.finance.homework.domain.requests,LoanRequest.LoanRequestBuilder,27,35,0,0,0,1,1,6,1,6
homework,com.finance.homework.services,ExtentionServiceImpl,0,136,0,2,0,22,0,8,0,7
homework,com.finance.homework.services,UserServiceImpl,0,74,0,2,0,10,0,8,0,7
homework,com.finance.homework.services,LoanServiceImpl,0,231,0,10,0,38,0,15,0,10
homework,com.finance.homework.model,BaseEntity,52,74,13,9,0,3,15,5,4,5
homework,com.finance.homework.model,LoanEntity,30,398,19,53,0,12,19,40,0,23
homework,com.finance.homework.model,UserEntity.UserEntityBuilder,47,63,0,0,0,1,1,10,1,10
homework,com.finance.homework.model,UserEntity,31,384,19,49,0,13,19,38,0,23
homework,com.finance.homework.model,ExtentionEntity.ExtentionEntityBuilder,22,28,0,0,0,1,1,5,1,5
homework,com.finance.homework.model,ExtentionEntity,37,161,9,23,0,7,10,19,1,12
homework,com.finance.homework.model,LoanEntity.LoanEntityBuilder,47,63,0,0,0,1,1,10,1,10
homework,com.finance.homework.domain.enums,LoanStatus,0,99,0,0,0,9,0,4,0,4
homework,com.finance.homework.schedulers,RiskAnalysis,37,0,0,0,10,0,4,0,4,0
homework,com.finance.homework.schedulers,LoanProcessing,20,0,0,0,6,0,3,0,3,0
